File Name,File Size (MB),Folder Name
Form 2 - CUI_pg2.pdf,0.11199760437011719,evol_diaria
Form 37 - ENF_pg3.pdf,0.48784923553466797,evol_diaria
Form 38 - ENF_pg10.pdf,0.5223894119262695,evol_diaria
Form 38 - ENF_pg11.pdf,0.5231800079345703,evol_diaria
Form 38 - ENF_pg12.pdf,0.5348758697509766,evol_diaria
Form 38 - ENF_pg13.pdf,0.5402498245239258,evol_diaria
Form 38 - ENF_pg14.pdf,0.5335655212402344,evol_diaria
Form 38 - ENF_pg15.pdf,0.54376220703125,evol_diaria
Form 38 - ENF_pg16.pdf,0.5443038940429688,evol_diaria
Form 38 - ENF_pg2.pdf,0.5049772262573242,evol_diaria
Form 38 - ENF_pg3.pdf,0.5184545516967773,evol_diaria
Form 38 - ENF_pg4.pdf,0.5130701065063477,evol_diaria
Form 38 - ENF_pg5.pdf,0.5181522369384766,evol_diaria
Form 38 - ENF_pg6.pdf,0.5157432556152344,evol_diaria
Form 38 - ENF_pg7.pdf,0.5199289321899414,evol_diaria
Form 38 - ENF_pg8.pdf,0.513981819152832,evol_diaria
Form 38 - ENF_pg9.pdf,0.524327278137207,evol_diaria
Form 39 - ENF_pg10.pdf,0.5670375823974609,evol_diaria
Form 39 - ENF_pg12.pdf,0.3371849060058594,evol_diaria
Form 39 - ENF_pg13.pdf,0.32630443572998047,evol_diaria
Form 39 - ENF_pg14.pdf,0.3773651123046875,evol_diaria
Form 39 - ENF_pg15.pdf,0.3504915237426758,evol_diaria
Form 39 - ENF_pg16.pdf,0.3768758773803711,evol_diaria
Form 39 - ENF_pg2.pdf,0.5309982299804688,evol_diaria
Form 39 - ENF_pg3.pdf,0.5348844528198242,evol_diaria
Form 39 - ENF_pg4.pdf,0.5411767959594727,evol_diaria
Form 39 - ENF_pg5.pdf,0.3305540084838867,evol_diaria
Form 39 - ENF_pg6.pdf,0.3212099075317383,evol_diaria
Form 39 - ENF_pg7.pdf,0.3628683090209961,evol_diaria
Form 39 - ENF_pg8.pdf,0.5482568740844727,evol_diaria
Form 39 - ENF_pg9.pdf,0.5582790374755859,evol_diaria
Form 4 - CUI_pg2.pdf,0.4668855667114258,evol_diaria
Form 4 - CUI_pg4.pdf,0.5388078689575195,evol_diaria
Form 40 - ENF_pg2.pdf,0.5440807342529297,evol_diaria
Form 40 - ENF_pg3.pdf,0.4685840606689453,evol_diaria
Form 8 - ENF_pg3.pdf,0.5419960021972656,evol_diaria
